                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.99232,                0.99051,                 1.3034,                0.89295,                0.56991,                 0.6432,                0.46493,                 1.4625,                 1.7892,                 1.6452,              0.0010347,              0.0010347,              0.0010347
                     50,                 1.0052,                0.99646,                 1.3182,                 0.9383,                0.54114,                 0.6373,                  0.456,                 1.4575,                 1.8962,                 1.6181,              0.0010248,              0.0010248,              0.0010248
                     51,                0.99282,                0.97864,                  1.306,                0.92339,                0.53885,                0.63531,                0.44871,                 1.5508,                  1.988,                 1.7485,              0.0010149,              0.0010149,              0.0010149
                     52,                0.97915,                  0.956,                 1.2848,                0.82921,                0.59438,                0.66551,                0.48235,                 1.4537,                 1.7231,                 1.5972,               0.001005,               0.001005,               0.001005
                     53,                0.98141,                0.98133,                 1.2983,                0.88465,                0.58784,                0.69268,                0.49879,                 1.4095,                  1.661,                 1.5583,              0.0009951,              0.0009951,              0.0009951
                     54,                0.98047,                0.98054,                 1.2971,                0.76257,                0.60211,                0.65751,                 0.4737,                 1.4595,                 1.7785,                 1.5922,              0.0009852,              0.0009852,              0.0009852
                     55,                0.98211,                0.97661,                 1.2861,                0.71005,                0.61847,                0.66918,                  0.474,                 1.4565,                 1.6671,                 1.6128,              0.0009753,              0.0009753,              0.0009753
                     56,                0.98209,                0.97416,                 1.2951,                0.75543,                0.60541,                 0.6727,                0.48412,                 1.4441,                 1.6995,                 1.6057,              0.0009654,              0.0009654,              0.0009654
                     57,                0.97444,                0.95472,                 1.2914,                0.72296,                0.66464,                0.69392,                0.49831,                 1.3275,                 1.5624,                 1.4998,              0.0009555,              0.0009555,              0.0009555
                     58,                0.97774,                0.95173,                 1.2946,                0.75387,                0.66709,                0.71201,                0.51237,                 1.3981,                 1.5538,                 1.5624,              0.0009456,              0.0009456,              0.0009456
                     59,                 0.9752,                0.94791,                 1.2907,                0.80237,                0.62109,                0.70449,                0.50257,                 1.4017,                 1.5672,                 1.5627,              0.0009357,              0.0009357,              0.0009357
                     60,                0.95285,                0.92834,                 1.2734,                0.66697,                0.63809,                0.66323,                0.48313,                 1.4492,                 1.7369,                 1.6533,              0.0009258,              0.0009258,              0.0009258
                     61,                0.98666,                0.95079,                 1.2957,                0.76996,                0.64176,                0.69785,                 0.4972,                 1.4356,                 1.5515,                 1.5856,              0.0009159,              0.0009159,              0.0009159
                     62,                0.96257,                0.93543,                 1.2757,                0.64403,                0.64218,                0.64115,                0.47904,                 1.4176,                  1.625,                 1.5884,               0.000906,               0.000906,               0.000906
                     63,                0.94715,                0.91458,                 1.2679,                0.70716,                0.61766,                 0.6623,                0.48385,                 1.4435,                 1.5865,                 1.6091,              0.0008961,              0.0008961,              0.0008961
                     64,                0.95093,                0.92357,                 1.2709,                0.77225,                0.62208,                0.68405,                0.49758,                 1.4195,                 1.6765,                 1.5692,              0.0008862,              0.0008862,              0.0008862
                     65,                0.94677,                0.90856,                 1.2686,                0.80635,                0.61317,                0.70016,                 0.5165,                 1.4219,                 1.6292,                 1.6327,              0.0008763,              0.0008763,              0.0008763
                     66,                0.94572,                0.90806,                 1.2622,                0.81731,                0.63066,                0.69931,                0.50235,                 1.4292,                 1.5795,                 1.5926,              0.0008664,              0.0008664,              0.0008664
                     67,                0.94361,                 0.9047,                 1.2695,                0.79645,                0.61991,                 0.6849,                0.50156,                 1.4341,                 1.5935,                 1.6034,              0.0008565,              0.0008565,              0.0008565
                     68,                0.95413,                0.89779,                 1.2744,                0.75548,                0.65605,                0.71481,                0.51856,                 1.3566,                 1.5368,                 1.5235,              0.0008466,              0.0008466,              0.0008466
                     69,                0.94156,                 0.8967,                 1.2635,                0.72262,                0.66831,                0.68246,                0.49781,                 1.4011,                 1.5842,                 1.5976,              0.0008367,              0.0008367,              0.0008367
                     70,                0.95166,                0.89467,                 1.2666,                0.80061,                0.69119,                0.74705,                0.53563,                 1.3727,                 1.4168,                 1.5157,              0.0008268,              0.0008268,              0.0008268
                     71,                0.92618,                0.85819,                  1.248,                 0.8022,                0.62167,                0.69132,                0.49513,                  1.491,                 1.6438,                 1.6525,              0.0008169,              0.0008169,              0.0008169
                     72,                0.92614,                0.88112,                 1.2656,                0.71945,                0.63072,                0.66542,                0.48286,                 1.5041,                 1.6662,                 1.6685,               0.000807,               0.000807,               0.000807
                     73,                0.92578,                0.87248,                 1.2505,                0.75869,                0.66711,                0.70133,                0.50665,                 1.4571,                 1.4945,                 1.6093,              0.0007971,              0.0007971,              0.0007971
                     74,                0.94864,                0.89839,                 1.2584,                0.79402,                0.60377,                0.66754,                0.48952,                 1.4263,                 1.5833,                  1.559,              0.0007872,              0.0007872,              0.0007872
                     75,                 0.9302,                0.88395,                 1.2584,                0.67891,                0.68115,                0.70244,                0.50626,                 1.3862,                 1.4554,                 1.5446,              0.0007773,              0.0007773,              0.0007773
                     76,                0.92846,                0.86905,                 1.2556,                0.75573,                0.64094,                0.68212,                0.49878,                 1.4446,                 1.4973,                 1.6079,              0.0007674,              0.0007674,              0.0007674
                     77,                0.92496,                0.84264,                 1.2544,                0.74291,                0.68955,                 0.7207,                0.51471,                 1.3717,                 1.5485,                 1.5258,              0.0007575,              0.0007575,              0.0007575
                     78,                0.92011,                0.84013,                 1.2515,                 0.8303,                0.59968,                0.66903,                0.49761,                 1.3855,                 1.6403,                  1.551,              0.0007476,              0.0007476,              0.0007476
                     79,                0.93233,                0.87153,                 1.2602,                 0.7294,                0.68138,                0.71662,                0.52476,                 1.3941,                 1.5235,                 1.5341,              0.0007377,              0.0007377,              0.0007377
                     80,                 0.9181,                 0.8447,                 1.2366,                0.80749,                0.63359,                0.68602,                0.50171,                 1.4054,                 1.6254,                   1.54,              0.0007278,              0.0007278,              0.0007278
                     81,                0.91481,                0.83761,                 1.2403,                0.75269,                0.66553,                0.71443,                0.52595,                 1.3349,                 1.5087,                 1.4953,              0.0007179,              0.0007179,              0.0007179
                     82,                0.92268,                0.85501,                 1.2518,                0.74141,                 0.6483,                0.69937,                0.51374,                 1.4327,                 1.6743,                 1.5808,               0.000708,               0.000708,               0.000708
                     83,                 0.9051,                0.82327,                 1.2368,                0.81675,                0.69486,                0.75432,                0.54344,                 1.3912,                 1.4099,                 1.5111,              0.0006981,              0.0006981,              0.0006981
                     84,                0.90252,                0.82167,                 1.2383,                0.78339,                0.70392,                0.73343,                0.53506,                 1.4003,                 1.4244,                 1.5482,              0.0006882,              0.0006882,              0.0006882
                     85,                0.91371,                0.83639,                 1.2375,                0.75465,                0.69528,                0.73089,                  0.537,                 1.3617,                 1.3527,                 1.5058,              0.0006783,              0.0006783,              0.0006783
                     86,                0.88566,                0.79596,                 1.2178,                0.76019,                0.70058,                0.73425,                0.53423,                 1.4056,                 1.3859,                 1.5445,              0.0006684,              0.0006684,              0.0006684
                     87,                0.90146,                0.82813,                 1.2298,                0.74384,                 0.7014,                0.73715,                0.53982,                 1.3745,                 1.4626,                 1.5289,              0.0006585,              0.0006585,              0.0006585
                     88,                0.88542,                0.79188,                 1.2197,                0.76664,                0.71814,                0.74224,                0.54006,                 1.3646,                 1.4318,                 1.5221,              0.0006486,              0.0006486,              0.0006486
