                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.89512,                0.80433,                 1.2325,                0.80962,                0.71651,                0.76711,                0.55538,                 1.3185,                 1.3451,                 1.4543,              0.0006882,              0.0006882,              0.0006882
                     85,                0.89934,                 0.8079,                 1.2293,                0.82421,                0.71937,                0.78037,                0.57083,                 1.3118,                 1.3103,                 1.4577,              0.0006783,              0.0006783,              0.0006783
                     86,                0.87955,                0.77189,                 1.2142,                0.82261,                0.69521,                0.76786,                0.54712,                 1.4082,                 1.3225,                 1.5591,              0.0006684,              0.0006684,              0.0006684
                     87,                0.87983,                0.79943,                 1.2207,                0.82385,                0.71187,                0.76327,                 0.5479,                 1.3646,                  1.348,                 1.5265,              0.0006585,              0.0006585,              0.0006585
                     88,                0.86913,                0.75653,                 1.2099,                0.86318,                0.70548,                0.77649,                0.56766,                 1.2982,                 1.3055,                 1.4579,              0.0006486,              0.0006486,              0.0006486
                     89,                0.87722,                0.78271,                 1.2165,                0.75229,                0.71978,                0.75775,                0.54202,                 1.3946,                 1.3197,                 1.5491,              0.0006387,              0.0006387,              0.0006387
                     90,                0.88051,                0.78697,                  1.215,                0.79411,                0.71921,                0.76069,                0.54614,                 1.3739,                 1.3499,                 1.5091,              0.0006288,              0.0006288,              0.0006288
                     91,                0.87785,                0.78649,                 1.2145,                0.83847,                0.69177,                0.74881,                0.53439,                 1.3512,                 1.4147,                 1.4914,              0.0006189,              0.0006189,              0.0006189
                     92,                0.86662,                0.76313,                 1.2083,                 0.8075,                0.72468,                0.76914,                0.55083,                 1.3221,                 1.3841,                 1.4688,               0.000609,               0.000609,               0.000609
                     93,                0.85932,                 0.7752,                 1.2027,                0.80612,                0.70511,                 0.7592,                 0.5519,                 1.3518,                 1.3692,                  1.487,              0.0005991,              0.0005991,              0.0005991
                     94,                0.85998,                0.77148,                 1.2057,                 0.8574,                0.74714,                0.79659,                0.58325,                 1.2877,                 1.2245,                 1.4298,              0.0005892,              0.0005892,              0.0005892
