                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.98487,                0.97071,                 1.3147,                0.61561,                 0.6324,                0.64696,                0.43323,                 1.2697,                 1.1954,                 1.2906,                0.00703,                0.00703,                0.00703
                     48,                 0.9783,                0.96354,                 1.3103,                0.63238,                0.56041,                0.59384,                0.39814,                 1.2779,                 1.3135,                 1.2974,               0.006964,               0.006964,               0.006964
                     49,                0.97635,                0.95338,                 1.3092,                0.64015,                0.59812,                0.63024,                0.42252,                 1.2811,                  1.237,                 1.3042,               0.006898,               0.006898,               0.006898
                     50,                 0.9732,                0.93424,                 1.3047,                0.66824,                0.57916,                0.61015,                0.41295,                 1.2921,                 1.2305,                 1.3046,               0.006832,               0.006832,               0.006832
                     51,                0.97168,                0.93741,                 1.3062,                0.68125,                0.56625,                 0.6229,                0.41606,                 1.2768,                 1.2504,                 1.3082,               0.006766,               0.006766,               0.006766
                     52,                0.96325,                0.93154,                 1.2994,                0.64191,                0.60147,                0.61698,                0.41666,                 1.2794,                 1.2501,                 1.3169,                 0.0067,                 0.0067,                 0.0067
                     53,                0.97438,                 0.9351,                 1.3101,                0.60244,                0.59332,                0.60438,                0.41409,                 1.2837,                 1.2592,                 1.3092,               0.006634,               0.006634,               0.006634
                     54,                0.96502,                0.92755,                 1.2944,                0.66237,                0.58638,                0.60461,                0.41036,                 1.2856,                 1.2523,                 1.2901,               0.006568,               0.006568,               0.006568
                     55,                0.97074,                0.93103,                 1.3037,                0.65964,                0.55136,                0.59735,                0.41714,                 1.2713,                 1.2639,                 1.2894,               0.006502,               0.006502,               0.006502
                     56,                0.95416,                0.91926,                 1.2906,                0.61068,                0.58842,                0.61584,                0.42743,                 1.2581,                 1.2154,                 1.2876,               0.006436,               0.006436,               0.006436
                     57,                0.96012,                0.91775,                 1.2945,                 0.6522,                 0.5769,                0.61516,                0.42546,                 1.2631,                 1.2605,                 1.2734,                0.00637,                0.00637,                0.00637
                     58,                0.95193,                0.90845,                 1.2906,                0.61715,                0.57754,                0.59774,                0.41848,                 1.2601,                 1.2754,                 1.2738,               0.006304,               0.006304,               0.006304
                     59,                0.95013,                0.89869,                 1.2877,                0.62048,                0.62103,                0.62369,                0.43118,                 1.2501,                 1.2084,                  1.273,               0.006238,               0.006238,               0.006238
                     60,                0.95411,                0.90325,                 1.2835,                0.70762,                0.58916,                0.61599,                0.42845,                 1.2728,                 1.1908,                 1.2878,               0.006172,               0.006172,               0.006172
                     61,                0.95986,                0.90923,                 1.2909,                0.62822,                0.58473,                0.60779,                0.42464,                 1.2423,                 1.2276,                 1.2729,               0.006106,               0.006106,               0.006106
                     62,                0.94584,                0.89113,                 1.2838,                0.69395,                0.56088,                0.62312,                0.42704,                 1.2488,                 1.2153,                 1.2809,                0.00604,                0.00604,                0.00604
                     63,                0.94165,                0.89671,                 1.2838,                0.63019,                0.60439,                0.62418,                0.42963,                  1.227,                 1.1915,                 1.2779,               0.005974,               0.005974,               0.005974
                     64,                0.94402,                0.87762,                 1.2821,                0.65014,                0.62808,                0.64995,                0.43984,                 1.2474,                 1.1491,                 1.2842,               0.005908,               0.005908,               0.005908
                     65,                0.94737,                0.87973,                 1.2833,                0.69768,                0.60104,                0.64199,                0.43872,                 1.2531,                 1.1452,                 1.2758,               0.005842,               0.005842,               0.005842
                     66,                0.94655,                0.88205,                 1.2796,                 0.6725,                0.62086,                0.64941,                0.44636,                 1.2425,                 1.1605,                 1.2677,               0.005776,               0.005776,               0.005776
                     67,                0.92624,                0.86747,                 1.2766,                0.71021,                0.59631,                0.64273,                0.43788,                 1.2542,                 1.1516,                 1.2717,                0.00571,                0.00571,                0.00571
                     68,                0.92591,                0.87543,                 1.2704,                0.65067,                0.60898,                0.63198,                0.43189,                 1.2591,                 1.1587,                 1.2844,               0.005644,               0.005644,               0.005644
                     69,                0.93627,                 0.8657,                 1.2801,                0.62911,                0.61452,                0.62465,                0.42722,                 1.2602,                 1.1774,                 1.2759,               0.005578,               0.005578,               0.005578
                     70,                0.92762,                0.86894,                 1.2704,                0.63952,                0.63289,                 0.6352,                0.43174,                 1.2545,                 1.1852,                 1.2623,               0.005512,               0.005512,               0.005512
                     71,                0.92953,                0.86774,                 1.2689,                0.68566,                0.61764,                0.65187,                0.44422,                 1.2429,                 1.1457,                 1.2546,               0.005446,               0.005446,               0.005446
                     72,                0.92687,                0.86195,                 1.2656,                0.67769,                0.61781,                0.65269,                0.44822,                 1.2237,                 1.1303,                 1.2455,                0.00538,                0.00538,                0.00538
