                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.94992,                0.87656,                 1.2809,                0.79246,                0.69121,                0.77431,                0.51535,                 1.2112,                0.97552,                 1.2236,              0.0082972,              0.0082972,              0.0082972
                     46,                0.94189,                0.86871,                 1.2771,                0.72264,                0.70677,                0.75461,                0.50391,                 1.2129,                 1.0078,                 1.2215,              0.0082576,              0.0082576,              0.0082576
                     47,                0.95465,                0.86939,                 1.2829,                0.80229,                0.67472,                0.75138,                0.50535,                  1.199,                 1.0432,                 1.2287,               0.008218,               0.008218,               0.008218
                     48,                0.94844,                0.86781,                 1.2801,                0.72363,                0.68988,                 0.7255,                0.49453,                 1.1929,                 1.0135,                 1.2341,              0.0081784,              0.0081784,              0.0081784
                     49,                0.93757,                0.85375,                 1.2701,                0.73162,                0.68722,                0.73699,                0.51282,                 1.1765,                 1.0858,                 1.2062,              0.0081388,              0.0081388,              0.0081388
                     50,                0.94389,                 0.8646,                 1.2738,                0.72695,                0.71275,                0.75344,                0.49832,                 1.2305,                 1.0187,                 1.2395,              0.0080992,              0.0080992,              0.0080992
                     51,                0.93845,                0.85801,                 1.2728,                0.74554,                 0.6789,                0.75089,                0.50507,                 1.2547,                0.99019,                 1.2533,              0.0080596,              0.0080596,              0.0080596
                     52,                0.93028,                0.84732,                 1.2675,                 0.7423,                0.68997,                 0.7499,                0.51287,                 1.1998,                 1.0518,                 1.2266,                0.00802,                0.00802,                0.00802
                     53,                0.94206,                0.85387,                  1.272,                0.76877,                0.70436,                 0.7714,                0.51974,                 1.1959,                0.99336,                 1.2267,              0.0079804,              0.0079804,              0.0079804
                     54,                0.93478,                0.83797,                 1.2626,                0.75798,                0.69159,                 0.7476,                0.50003,                 1.2057,                 1.0026,                 1.2238,              0.0079408,              0.0079408,              0.0079408
                     55,                0.92994,                 0.8364,                 1.2612,                0.75893,                0.68276,                0.73003,                0.49193,                   1.23,                0.97119,                 1.2469,              0.0079012,              0.0079012,              0.0079012
                     56,                0.92157,                0.83991,                  1.261,                0.69105,                0.71936,                0.72874,                0.50438,                 1.2363,                 0.9697,                 1.2478,              0.0078616,              0.0078616,              0.0078616
                     57,                0.93699,                 0.8395,                 1.2686,                0.70224,                0.73858,                0.76521,                0.51214,                 1.2154,                0.95271,                 1.2192,               0.007822,               0.007822,               0.007822
                     58,                0.92777,                0.83993,                 1.2573,                0.74101,                0.70889,                0.76264,                0.51542,                 1.1982,                0.99339,                 1.2214,              0.0077824,              0.0077824,              0.0077824
                     59,                0.91886,                0.82127,                 1.2591,                0.74763,                0.69153,                 0.7616,                0.51118,                  1.214,                0.99599,                 1.2269,              0.0077428,              0.0077428,              0.0077428
                     60,                0.91911,                0.81278,                 1.2568,                0.73345,                0.73079,                0.76984,                0.51409,                 1.2072,                0.94992,                 1.2327,              0.0077032,              0.0077032,              0.0077032
                     61,                0.92228,                0.81854,                 1.2596,                0.75584,                0.67208,                0.75073,                0.51026,                 1.2007,                0.98727,                 1.2251,              0.0076636,              0.0076636,              0.0076636
                     62,                0.91601,                0.81634,                 1.2579,                0.73979,                0.73736,                0.77881,                0.52273,                  1.204,                0.91879,                 1.2196,               0.007624,               0.007624,               0.007624
                     63,                0.91664,                0.81155,                 1.2537,                0.71949,                0.73669,                0.76558,                0.51885,                 1.2097,                0.92084,                 1.2238,              0.0075844,              0.0075844,              0.0075844
                     64,                0.91546,                0.81401,                 1.2471,                0.71271,                0.73733,                0.75681,                0.51371,                 1.2097,                0.93836,                 1.2269,              0.0075448,              0.0075448,              0.0075448
                     65,                 0.9176,                0.81591,                 1.2543,                0.73136,                0.72627,                0.75584,                0.51664,                 1.2013,                0.94432,                 1.2294,              0.0075052,              0.0075052,              0.0075052
                     66,                0.91268,                0.80656,                 1.2459,                  0.741,                0.72704,                0.75521,                0.51552,                 1.2033,                0.91967,                 1.2223,              0.0074656,              0.0074656,              0.0074656
                     67,                0.91125,                0.80758,                 1.2483,                0.75185,                0.75394,                0.78249,                0.52851,                 1.1964,                0.88207,                 1.2223,               0.007426,               0.007426,               0.007426
                     68,                0.90724,                0.79954,                 1.2432,                0.74358,                0.76733,                0.77877,                0.53382,                 1.1703,                0.91002,                 1.1972,              0.0073864,              0.0073864,              0.0073864
                     69,                0.91024,                0.80384,                 1.2441,                0.74881,                0.76317,                0.76724,                0.52432,                 1.1623,                0.95213,                  1.189,              0.0073468,              0.0073468,              0.0073468
                     70,                0.91626,                0.80755,                 1.2513,                 0.7558,                0.73202,                0.76847,                 0.5297,                 1.1528,                0.92744,                 1.1915,              0.0073072,              0.0073072,              0.0073072
                     71,                0.90948,                0.79625,                 1.2456,                0.74366,                 0.7521,                0.76559,                0.52106,                 1.1687,                0.93463,                 1.1987,              0.0072676,              0.0072676,              0.0072676
                     72,                0.90249,                0.78489,                  1.243,                0.74753,                 0.7321,                0.76218,                 0.5226,                 1.1566,                0.95915,                 1.1935,               0.007228,               0.007228,               0.007228
                     73,                0.90648,                0.78335,                 1.2369,                0.77399,                0.72258,                 0.7657,                0.52423,                 1.1482,                0.95217,                 1.1857,              0.0071884,              0.0071884,              0.0071884
                     74,                0.90977,                0.78907,                 1.2416,                0.77243,                0.71996,                 0.7672,                0.52603,                 1.1467,                0.93895,                 1.1924,              0.0071488,              0.0071488,              0.0071488
                     75,                 0.8932,                 0.7751,                 1.2322,                0.80425,                0.70812,                0.78384,                0.53462,                  1.139,                0.93642,                 1.1879,              0.0071092,              0.0071092,              0.0071092
                     76,                0.90007,                0.78342,                 1.2361,                0.79422,                0.70181,                0.77734,                0.53214,                 1.1484,                0.93791,                 1.1966,              0.0070696,              0.0070696,              0.0070696
                     77,                0.89657,                0.77337,                 1.2352,                0.80406,                0.71073,                0.76989,                0.52798,                 1.1561,                0.94778,                 1.1963,                0.00703,                0.00703,                0.00703
                     78,                0.89362,                0.77183,                 1.2365,                0.77596,                0.72442,                0.77709,                0.52721,                 1.1713,                0.93885,                 1.2073,              0.0069904,              0.0069904,              0.0069904
                     79,                0.88162,                0.76058,                   1.23,                0.78515,                0.71717,                0.78135,                0.53064,                 1.1624,                0.91513,                 1.2111,              0.0069508,              0.0069508,              0.0069508
                     80,                0.89245,                 0.7774,                 1.2331,                0.81277,                0.71211,                0.79588,                0.54195,                 1.1528,                0.89528,                 1.2041,              0.0069112,              0.0069112,              0.0069112
                     81,                0.88886,                0.77534,                 1.2277,                0.77691,                0.72207,                0.79697,                0.54553,                 1.1448,                0.90698,                 1.1991,              0.0068716,              0.0068716,              0.0068716
                     82,                0.88519,                 0.7643,                 1.2292,                0.77014,                  0.735,                0.79322,                  0.544,                 1.1451,                0.90768,                 1.1982,               0.006832,               0.006832,               0.006832
                     83,                0.88971,                0.77166,                 1.2328,                0.78019,                0.73579,                0.79702,                0.54815,                 1.1433,                0.90481,                 1.1993,              0.0067924,              0.0067924,              0.0067924
                     84,                0.89357,                 0.7676,                 1.2352,                0.74873,                0.75686,                 0.8022,                 0.5493,                 1.1498,                0.91312,                 1.1979,              0.0067528,              0.0067528,              0.0067528
                     85,                0.89605,                0.76702,                 1.2317,                0.76497,                0.74763,                0.79972,                0.54754,                 1.1522,                0.91689,                 1.1928,              0.0067132,              0.0067132,              0.0067132
                     86,                0.87975,                0.75764,                 1.2235,                0.74576,                0.74724,                0.79558,                0.54298,                 1.1601,                0.91497,                 1.1995,              0.0066736,              0.0066736,              0.0066736
                     87,                0.88308,                 0.7497,                  1.227,                 0.7426,                0.75357,                0.79742,                0.54221,                 1.1654,                0.91148,                 1.2019,               0.006634,               0.006634,               0.006634
                     88,                0.87818,                 0.7608,                 1.2233,                0.76856,                0.74579,                0.80005,                0.54531,                 1.1526,                0.89747,                 1.1944,              0.0065944,              0.0065944,              0.0065944
                     89,                0.88077,                0.74883,                 1.2246,                0.74791,                0.74228,                0.79599,                0.54808,                 1.1415,                   0.89,                 1.1865,              0.0065548,              0.0065548,              0.0065548
                     90,                0.86938,                0.74093,                 1.2169,                0.74828,                0.75969,                0.79797,                 0.5523,                 1.1319,                0.88402,                 1.1837,              0.0065152,              0.0065152,              0.0065152
                     91,                0.88736,                0.74089,                 1.2212,                0.75209,                0.75653,                0.79365,                0.55372,                 1.1232,                0.88705,                 1.1824,              0.0064756,              0.0064756,              0.0064756
                     92,                0.87782,                0.74137,                 1.2175,                0.75911,                0.75973,                0.79447,                0.55379,                 1.1256,                0.87618,                 1.1826,               0.006436,               0.006436,               0.006436
                     93,                0.87508,                  0.734,                 1.2161,                0.76591,                0.74893,                0.79809,                0.55427,                 1.1247,                 0.8632,                  1.181,              0.0063964,              0.0063964,              0.0063964
                     94,                0.87023,                0.73412,                 1.2199,                 0.7596,                0.74995,                0.79412,                0.55206,                 1.1304,                0.87765,                 1.1824,              0.0063568,              0.0063568,              0.0063568
                     95,                0.86668,                0.73296,                 1.2151,                0.74242,                0.74703,                0.78617,                0.54849,                 1.1348,                0.89032,                 1.1802,              0.0063172,              0.0063172,              0.0063172
                     96,                0.87389,                0.73333,                 1.2111,                0.72959,                0.76262,                0.78832,                0.54653,                 1.1419,                0.89367,                 1.1822,              0.0062776,              0.0062776,              0.0062776
                     97,                0.86398,                0.72507,                 1.2151,                0.73466,                0.76292,                0.79107,                0.54544,                 1.1495,                0.89066,                 1.1866,               0.006238,               0.006238,               0.006238
                     98,                0.86308,                 0.7301,                 1.2115,                0.73156,                0.75626,                0.78808,                0.54525,                 1.1569,                0.88817,                  1.189,              0.0061984,              0.0061984,              0.0061984
                     99,                0.86321,                0.72688,                 1.2071,                 0.7789,                0.71936,                0.78521,                0.54174,                 1.1625,                0.88205,                 1.1951,              0.0061588,              0.0061588,              0.0061588
                    100,                0.87977,                0.73824,                   1.22,                0.77579,                 0.7212,                0.78403,                0.54128,                 1.1645,                0.88147,                 1.1963,              0.0061192,              0.0061192,              0.0061192
                    101,                0.85539,                 0.7199,                 1.2054,                0.76464,                 0.7212,                0.78222,                0.53954,                 1.1601,                0.88283,                 1.1922,              0.0060796,              0.0060796,              0.0060796
                    102,                0.86004,                0.72225,                 1.2063,                0.76617,                0.73334,                0.78667,                0.54188,                 1.1563,                0.87253,                 1.1903,                0.00604,                0.00604,                0.00604
